ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Number
muri1259,Murik (Malaysia),,3.7519,114.434,muri1259,,422
moda1244,Modang,,0.80793,116.573,moda1244,,423
sega1243,Segai,,1.97695,116.954,sega1243,,424
iban1264,Iban,,2.09041,112.934,iban1264,,425
remu1237,Remun,,1.26305,110.82,remu1237,,426
sebe1242,Seberuang,,-0.02463,111.212,sebe1242,,427
mual1241,Mualang,,0.31083,111.077,mual1241,,428
keni1248,Keninjal,,-0.63184,111.808,keni1248,,429
kend1254,Kendayan-Belangin,,1.47957,109.467,kend1254,,430
ment1251,Menterap,,-0.293181,110.670512,ment1251,,431
mala1480,Malayic Dayak,,-2.78384,111.136,mala1480,,432
haji1235,Haji,,-5.07781,104.714,haji1235,,433
oldm1243,Old Malay,,-0.648259,103.353479,oldm1243,,434
duan1242,Duano,,0.72162,103.46759,duan1242,,435
beta1252,Betawi,,-6.21174,107.022,beta1252,,436
coco1260,Cocos Islands Malay,,-12.193342,96.833679,coco1260,,437
pera1256,Peranakan Indonesian,,-7.982,112.619,pera1256,,438
kaur1269,Kaur,,-4.6251,103.512,kaur1269,,439
cent2053,South Barisan Malay,,-3.79673,103.137,cent2053,,440
